ctyfips,county,stfips,state,zip,cd,dma,dma name
18015,Carroll,,IN,46915,,527,INDIANAPOLIS
18015,Carroll,,IN,46916,,527,INDIANAPOLIS
18015,Carroll,,IN,46917,,527,INDIANAPOLIS
18015,Carroll,,IN,46920,,527,INDIANAPOLIS
18015,Carroll,,IN,46923,,527,INDIANAPOLIS
18015,Carroll,,IN,46929,,527,INDIANAPOLIS
18015,Carroll,,IN,46977,,527,INDIANAPOLIS
18015,Carroll,,IN,47997,,527,INDIANAPOLIS
18017,Cass,,IN,46932,,527,INDIANAPOLIS
18017,Cass,,IN,46942,,527,INDIANAPOLIS
18017,Cass,,IN,46947,,527,INDIANAPOLIS
18017,Cass,,IN,46950,,527,INDIANAPOLIS
18017,Cass,,IN,46961,,527,INDIANAPOLIS
18017,Cass,,IN,46967,,527,INDIANAPOLIS
18017,Cass,,IN,46978,,527,INDIANAPOLIS
18017,Cass,,IN,46988,,527,INDIANAPOLIS
18017,Cass,,IN,46994,,527,INDIANAPOLIS
18017,Cass,,IN,46998,,527,INDIANAPOLIS
18019,Clark,,IN,47104,,529,LOUISVILLE
18019,Clark,,IN,47106,,529,LOUISVILLE
18019,Clark,,IN,47111,,529,LOUISVILLE
18019,Clark,,IN,47126,,529,LOUISVILLE
18019,Clark,,IN,47129,,529,LOUISVILLE
18019,Clark,,IN,47130,,529,LOUISVILLE
18019,Clark,,IN,47131,,529,LOUISVILLE
18019,Clark,,IN,47132,,529,LOUISVILLE
18019,Clark,,IN,47133,,529,LOUISVILLE
18019,Clark,,IN,47134,,529,LOUISVILLE
18019,Clark,,IN,47141,,529,LOUISVILLE
18019,Clark,,IN,47143,,529,LOUISVILLE
18019,Clark,,IN,47144,,529,LOUISVILLE
18019,Clark,,IN,47147,,529,LOUISVILLE
18019,Clark,,IN,47162,,529,LOUISVILLE
18019,Clark,,IN,47163,,529,LOUISVILLE
18019,Clark,,IN,47172,,529,LOUISVILLE
18019,Clark,,IN,47190,,529,LOUISVILLE
18019,Clark,,IN,47199,,529,LOUISVILLE
18021,Clay,,IN,47833,,581,TERRE HAUTE
18021,Clay,,IN,47834,,581,TERRE HAUTE
18021,Clay,,IN,47837,,581,TERRE HAUTE
18021,Clay,,IN,47840,,581,TERRE HAUTE
18021,Clay,,IN,47841,,581,TERRE HAUTE
18021,Clay,,IN,47845,,581,TERRE HAUTE
18021,Clay,,IN,47846,,581,TERRE HAUTE
18021,Clay,,IN,47853,,581,TERRE HAUTE
18021,Clay,,IN,47857,,581,TERRE HAUTE
18021,Clay,,IN,47881,,581,TERRE HAUTE
18023,Clinton,,IN,46035,,527,INDIANAPOLIS
18023,Clinton,,IN,46039,,527,INDIANAPOLIS
18023,Clinton,,IN,46041,,527,INDIANAPOLIS
18023,Clinton,,IN,46050,,527,INDIANAPOLIS
18023,Clinton,,IN,46057,,527,INDIANAPOLIS
18023,Clinton,,IN,46058,,527,INDIANAPOLIS
18023,Clinton,,IN,46065,,527,INDIANAPOLIS
18023,Clinton,,IN,46067,,527,INDIANAPOLIS
18025,Crawford,,IN,47116,,529,LOUISVILLE
18025,Crawford,,IN,47118,,529,LOUISVILLE
18025,Crawford,,IN,47123,,529,LOUISVILLE
18025,Crawford,,IN,47137,,529,LOUISVILLE
18025,Crawford,,IN,47140,,529,LOUISVILLE
18025,Crawford,,IN,47145,,529,LOUISVILLE
18025,Crawford,,IN,47174,,529,LOUISVILLE
18025,Crawford,,IN,47175,,529,LOUISVILLE
18027,Daviess,,IN,47501,,581,TERRE HAUTE
18027,Daviess,,IN,47519,,581,TERRE HAUTE
18027,Daviess,,IN,47529,,581,TERRE HAUTE
18027,Daviess,,IN,47558,,581,TERRE HAUTE
18027,Daviess,,IN,47562,,581,TERRE HAUTE
18027,Daviess,,IN,47568,,581,TERRE HAUTE
18029,Dearborn,,IN,47001,,515,CINCINNATI
18029,Dearborn,,IN,47018,,515,CINCINNATI
18029,Dearborn,,IN,47022,,515,CINCINNATI
18029,Dearborn,,IN,47025,,515,CINCINNATI
18029,Dearborn,,IN,47032,,515,CINCINNATI
18029,Dearborn,,IN,47060,,515,CINCINNATI
18031,Decatur,,IN,47225,,527,INDIANAPOLIS
18031,Decatur,,IN,47240,,527,INDIANAPOLIS
18031,Decatur,,IN,47261,,527,INDIANAPOLIS
