ctyfips,county,stfips,state,zip,cd,dma,dma name
17167,Sangamon,,IL,62763,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17167,Sangamon,,IL,62764,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17167,Sangamon,,IL,62765,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17167,Sangamon,,IL,62766,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17167,Sangamon,,IL,62767,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17167,Sangamon,,IL,62769,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17167,Sangamon,,IL,62776,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17167,Sangamon,,IL,62777,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17167,Sangamon,,IL,62781,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17167,Sangamon,,IL,62786,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17167,Sangamon,,IL,62791,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17167,Sangamon,,IL,62794,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17167,Sangamon,,IL,62796,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17169,Schuyler,,IL,61452,,717,QUINCY-HANNIBAL-KEOKUK
17169,Schuyler,,IL,62319,,717,QUINCY-HANNIBAL-KEOKUK
17169,Schuyler,,IL,62344,,717,QUINCY-HANNIBAL-KEOKUK
17169,Schuyler,,IL,62624,,717,QUINCY-HANNIBAL-KEOKUK
17169,Schuyler,,IL,62639,,717,QUINCY-HANNIBAL-KEOKUK
17169,Schuyler,,IL,62681,,717,QUINCY-HANNIBAL-KEOKUK
17171,Scott,,IL,62610,,717,QUINCY-HANNIBAL-KEOKUK
17171,Scott,,IL,62621,,717,QUINCY-HANNIBAL-KEOKUK
17171,Scott,,IL,62663,,717,QUINCY-HANNIBAL-KEOKUK
17171,Scott,,IL,62694,,717,QUINCY-HANNIBAL-KEOKUK
17173,Shelby,,IL,61957,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17173,Shelby,,IL,62422,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17173,Shelby,,IL,62431,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17173,Shelby,,IL,62438,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
17173,Shelby,,IL,62444,,648,CHAMPAIGN-SPRINGFIELD-DECATUR
