cd,zip
101,36607
101,36601
101,36581
101,36579
101,36549
101,36548
101,36529
101,36525
101,36432
101,36502
101,36480
101,36693
101,36615
101,36617
101,36583
101,36569
101,36575
101,36543
101,36544
101,36558
101,36553
101,36547
101,36539
101,36528
101,36518
101,36509
101,36475
101,36471
101,36503
101,36753
101,36675
101,36618
101,36587
101,36564
101,36439
101,36425
101,36426
101,36633
101,36611
101,36590
101,36585
101,36604
101,36603
101,36576
101,36542
101,36538
101,36512
101,36532
101,36521
101,36527
101,36460
101,36444
101,36507
101,36578
101,36572
101,36556
101,36555
101,36689
101,36688
101,36663
101,36691
101,36671
101,36695
101,36608
101,36602
101,36568
101,36574
101,36567
101,36561
101,36533
101,36522
101,36458
101,36441
101,36470
101,36505
101,36401
101,36640
101,36685
101,36606
101,36605
101,36562
101,36523
101,36445
101,36511
101,36483
101,36033
101,36616
101,36584
101,36580
101,36577
101,36545
101,36550
101,36513
101,36530
101,36451
101,36482
101,36670
101,36652
101,36619
101,36582
101,36571
101,36559
101,36560
101,36551
101,36536
101,36541
101,36535
101,36526
101,36481
101,36420
101,36768
101,36644
101,36660
101,36613
101,36612
101,36610
101,36609
102,36454
102,36502
102,36340
102,36312
102,36109
102,36101
102,36105
102,36016
102,36022
102,36003
102,36456
102,36471
102,36477
102,36401
102,36034
102,36028
102,36027
102,36006
102,36749
102,36453
102,36473
102,36374
102,36373
102,36362
102,36313
102,36310
102,36303
102,36302
102,36125
102,36114
102,36108
102,36091
102,36092
102,36054
102,36047
102,36043
102,36032
102,36420
102,36314
102,36110
102,36113
102,36111
102,36066
102,36064
102,36072
102,36038
102,36049
102,36048
102,36030
102,36005
102,35010
102,36758
102,36460
102,36432
102,36321
102,36319
102,36120
102,36112
102,36116
102,36106
102,36102
102,36078
102,36069
102,36068
102,36052
102,36037
102,36029
102,36024
102,36008
102,36010
102,36421
102,36375
102,36360
102,36351
102,36344
102,36305
102,36107
102,36081
102,36089
102,36051
102,36033
102,36026
102,36025
102,36009
102,36455
102,36442
102,36474
102,36467
102,36371
102,36353
102,36370
102,36361
102,36346
102,36330
102,36323
102,36316
102,36301
102,36115
102,36079
102,36042
102,36015
102,36475
102,36483
102,36376
102,36350
102,36343
102,36317
102,36322
102,36118
102,36103
102,36071
102,36046
102,36703
102,36476
102,36349
102,36352
102,36345
102,36320
102,36318
102,36311
102,36123
102,36124
102,36121
102,36117
102,36104
102,36093
102,36082
102,36080
102,36067
102,36053
102,36036
102,36035
102,36041
102,36020
102,36017
103,36256
103,36255
103,36130
103,36804
103,36271
103,36263
103,36260
103,36258
103,36131
103,36250
103,36202
103,36117
103,36065
103,36064
103,35094
103,35052
103,35010
103,36830
103,36279
103,36251
103,35146
103,30165
103,36869
103,36861
103,36855
103,36854
103,36276
103,36274
103,36266
103,36265
103,36207
103,36206
103,36205
103,36116
103,36088
103,36039
103,35967
103,35959
103,35125
103,36866
103,36280
103,36278
103,36268
103,36272
103,36253
103,36264
103,36057
103,36047
103,36052
103,35972
103,35961
103,35905
103,35173
103,35149
103,35128
103,36868
103,36867
103,36851
103,36863
103,36858
103,36850
103,36849
103,36803
103,36277
103,36269
103,36257
103,36254
103,36026
103,35983
103,35960
103,35954
103,35906
103,35151
103,35133
103,35121
103,35054
103,36870
103,36831
103,36089
103,36083
103,36013
103,36027
103,35901
103,35903
103,35178
103,35160
103,35131
103,35112
103,35120
103,36879
103,36875
103,36862
103,36267
103,36204
103,36075
103,36031
103,35973
103,35953
103,35089
103,35014
103,35004
103,36874
103,36865
103,36852
103,36856
103,36275
103,36261
103,36201
103,36087
103,36078
103,36029
103,35987
103,35082
103,35044
103,31905
103,36853
103,36832
103,36801
103,36273
103,36262
103,36119
103,36203
103,36104
103,35135
103,35150
103,35096
103,35072
103,35032
103,36877
103,36871
103,36860
104,35570
104,35458
104,35083
104,35972
104,35038
104,35033
104,35019
104,35016
104,35981
104,35980
104,35975
104,35950
104,35760
104,35646
104,35622
104,35619
104,35573
104,35593
104,35572
104,35581
104,35578
104,35559
104,35546
104,35964
104,35967
104,35966
104,35907
104,35653
104,35650
104,35584
104,35592
104,35587
104,35585
104,35560
104,35552
104,35565
104,35549
104,35540
104,35501
104,35476
104,35457
104,35077
104,35056
104,35989
104,35986
104,35983
104,35976
104,35968
104,35956
104,35954
104,35952
104,35902
104,35776
104,35765
104,35618
104,35586
104,35563
104,35542
104,35503
104,35475
104,35175
104,35121
104,35006
104,36271
104,35990
104,35979
104,35974
104,35962
104,35951
104,35754
104,35747
104,35660
104,35577
104,35576
104,35554
104,35545
104,35541
104,35490
104,35444
104,35148
104,35087
104,35070
104,35055
104,35406
104,35031
104,35984
104,35963
104,35906
104,35616
104,35603
104,35575
104,35571
104,35582
104,35580
104,35579
104,35555
104,35502
104,35452
104,35130
104,35062
104,35058
104,35978
104,35971
104,35905
104,35903
104,35673
104,35551
104,35550
104,35543
104,35544
104,35466
104,35473
104,35446
104,35401
104,35098
104,35063
104,35057
104,36272
104,36040
104,35988
104,35973
104,35961
104,35957
104,35771
104,35674
104,35643
104,35621
104,35594
104,35574
104,35564
104,35553
104,35548
104,35504
104,35480
104,35179
104,35053
104,35959
104,35904
104,35901
104,35769
104,35755
104,35672
104,35661
104,35654
104,35651
105,35615
105,35619
105,35603
105,35179
105,35897
105,35894
105,35807
105,35815
105,35766
105,35768
105,35764
105,35759
105,35673
105,35622
105,35966
105,35899
105,35806
105,35773
105,35769
105,35749
105,35758
105,35670
105,35645
105,35633
105,35617
105,35175
105,35893
105,35811
105,35776
105,35803
105,35762
105,35752
105,35763
105,35756
105,35750
105,35671
105,35632
105,35751
105,35746
105,35740
105,35612
105,35614
105,35898
105,35895
105,35824
105,35801
105,35761
105,35748
105,35741
105,35648
105,35640
105,35630
105,35601
105,35019
105,35958
105,35814
105,35813
105,35805
105,35775
105,35767
105,35771
105,35754
105,35742
105,35677
105,35652
105,35621
105,35620
105,35087
105,35016
105,35810
105,35802
105,35613
105,35602
105,35979
105,35809
105,35896
105,35816
105,35804
105,35774
105,35760
105,35765
105,35757
105,35755
105,35745
105,35739
105,35649
105,35631
105,35634
105,35611
105,35610
105,35978
105,35812
105,35808
105,35772
105,35744
105,35647
106,36006
106,35238
106,35223
106,35172
106,35151
106,35128
106,35124
106,35062
106,35042
106,36790
106,35980
106,35482
106,35242
106,35213
106,35214
106,35185
106,35133
106,35091
106,35015
106,35005
106,35235
106,35217
106,35226
106,35222
106,35187
106,35180
106,35184
106,35119
106,35089
106,35244
106,35219
106,35232
106,35209
106,35205
106,35176
106,35148
106,35130
106,35126
106,35121
106,35094
106,35074
106,35007
106,36319
106,36026
106,35260
106,35255
106,35224
106,35181
106,35183
106,35186
106,35136
106,35111
106,35079
106,35078
106,35060
106,35068
106,35063
106,35040
106,35006
106,35061
106,35034
106,36758
106,36016
106,35266
106,36793
106,36792
106,35952
106,35215
106,35211
106,35206
106,35182
106,35150
106,35147
106,35127
106,35114
106,35117
106,35080
106,35036
106,35020
106,35023
106,35010
106,35468
106,35236
106,35253
106,35212
106,35207
106,35210
106,35188
106,35173
106,35142
106,35146
106,35123
106,35097
106,35116
106,35115
106,35073
106,35071
106,35048
106,35051
106,35049
106,35045
106,35043
106,35031
106,36750
106,36080
106,35261
106,35243
106,35229
106,35216
106,35178
106,35171
106,35139
106,35137
106,35143
106,35118
106,35085
106,35072
106,35046
106,35035
106,35022
106,35013
106,36091
106,36051
107,35201
107,35188
107,35478
107,35471
107,35469
107,35442
107,35456
107,35259
107,35231
107,35221
107,35214
107,35210
107,35204
107,36904
107,36727
107,36040
107,36032
107,35555
107,35474
107,35447
107,35443
107,35405
107,35404
107,35223
107,35224
107,35222
107,35218
107,35202
107,35117
107,35022
107,36913
107,36912
107,36728
107,36701
107,36921
107,36720
107,36703
107,36748
107,36116
107,36047
107,35470
107,35476
107,35459
107,35444
107,35401
107,35234
107,35233
107,35215
107,35209
107,35127
107,35020
107,36901
107,36925
107,36768
107,36756
107,36741
107,36524
107,36436
107,35477
107,35463
107,35441
107,35206
107,35203
107,35061
107,35042
107,35023
107,36451
107,36106
107,35576
107,35473
107,35449
107,35407
107,35294
107,35285
107,35228
107,35212
107,35021
107,36915
107,36919
107,36766
107,36767
107,36759
107,36773
107,36742
107,36113
107,36108
107,36043
107,35486
107,35448
107,35440
107,35461
107,35462
107,35460
107,35453
107,35270
107,35211
107,36545
107,36540
107,35064
107,35005
107,36922
107,36769
107,36765
107,36784
107,36783
107,36776
107,36744
107,36726
107,36435
107,36446
107,35481
107,35480
107,35402
107,35220
107,35207
107,35208
107,35111
107,36910
107,36908
107,36907
107,36764
107,36758
107,36785
107,36775
107,36752
107,36751
107,36740
107,36558
107,36482
107,35574
107,36916
107,36761
107,36749
107,36754
107,36736
107,36105
107,36104
107,36030
107,35491
107,35490
107,35452
107,35464
107,35466
107,35446
107,35403
107,35244
107,35235
107,35217
107,35213
107,35205
107,35184
107,35068
107,36763
107,36786
107,36782
107,36723
107,36745
107,36722
107,36738
107,36732
200,99679
200,99676
200,99674
200,99751
200,99745
200,99744
200,99742
200,99741
200,99733
200,99925
200,99827
200,99789
200,99708
200,99780
200,99712
200,99709
200,99704
200,99670
200,99660
200,99506
200,99549
200,99547
200,99558
200,99529
200,99568
200,99609
200,99625
200,99567
200,99556
200,99623
200,99577
200,99515
200,99773
200,99750
200,99743
200,99739
200,99737
200,99927
200,99824
200,99801
200,99648
200,99656
200,99680
200,99692
200,99669
200,99664
200,99551
200,99548
200,99580
200,99578
200,99575
200,99564
200,99559
200,99557
200,99634
200,99632
200,99610
200,99513
200,99706
200,99738
200,99929
200,99707
200,99785
200,99650
200,99663
200,99666
200,99702
200,99611
200,99507
200,99752
200,99726
200,99921
200,99922
200,99835
200,99655
200,99667
200,99705
200,99703
200,99686
200,99681
200,99678
200,99689
200,99701
200,99504
200,99502
200,99581
200,99540
200,99630
200,99622
200,99599
200,99521
200,99511
200,99510
200,99775
200,99768
200,99767
200,99764
200,99763
200,99748
200,99833
200,99727
200,99723
200,99722
200,99923
200,99901
200,99651
200,99649
200,99662
200,99657
200,99677
200,99690
200,99501
200,99641
200,99587
200,99583
200,99563
200,99613
200,99519
200,99628
200,99573
200,99569
200,99590
200,99517
200,99509
200,99508
200,99776
200,99771
200,99758
200,99756
200,99755
200,99753
200,99574
200,99565
200,99639
200,99635
200,99572
200,99530
200,99644
200,99624
200,99604
200,99603
200,99588
200,99918
200,99903
200,99766
200,99757
200,99746
200,99684
200,99683
200,99675
200,99688
200,99503
200,99585
200,99638
200,99524
200,99523
200,99774
200,99769
200,99761
200,99760
200,99749
200,99841
200,99840
200,99736
200,99734
200,99732
200,99730
200,99729
200,99725
200,99724
200,99928
200,99919
200,99826
200,99820
200,99825
200,99784
200,99781
200,99659
200,99645
200,99505
200,99555
200,99554
200,99550
200,99579
200,99561
200,99614
200,99621
200,99620
200,99608
200,99605
200,99643
200,99602
200,99589
200,99520
200,99518
200,99740
200,99836
200,99926
200,99790
200,99786
200,99783
200,99714
200,99647
200,99661
200,99685
200,99682
200,99694
200,99693
200,99691
200,99687
200,99654
200,99553
200,99546
200,99545
200,99637
200,99636
200,99612
200,99633
200,99631
200,99627
200,99626
200,99571
200,99607
200,99606
200,99522
200,99591
200,99615
200,99516
200,99514
200,99778
200,99777
200,99772
200,99770
200,99765
200,99762
200,99759
200,99754
200,99747
200,99832
200,99830
200,99829
200,99731
200,99721
200,99720
200,99791
200,99788
200,99782
200,99653
200,99652
200,99671
200,99658
200,99668
200,99665
200,99672
200,99552
200,99640
200,99586
200,99566
200,99576
401,85743
401,85548
401,85552
401,85501
401,85539
401,85339
401,85248
401,85193
401,85139
401,86538
401,86502
401,85941
401,85927
401,85925
401,85911
401,85937
401,85931
401,86042
401,86351
401,86339
401,85652
401,85742
401,85926
401,85928
401,86052
401,86029
401,86016
401,86004
401,86325
401,85658
401,85653
401,85718
401,85618
401,85530
401,85142
401,85173
401,85131
401,86036
401,86003
401,86001
401,85739
401,85543
401,85172
401,85145
401,85194
401,86510
401,85933
401,86043
401,86047
401,86032
401,86030
401,86028
401,86020
401,86322
401,85738
401,85602
401,85536
401,85542
401,85540
401,85226
401,85128
401,85135
401,86544
401,86512
401,86504
401,85920
401,85936
401,86053
401,86045
401,86034
401,86033
401,86031
401,86018
401,86040
401,85531
401,85534
401,85191
401,86505
401,86556
401,86547
401,85922
401,86023
401,86022
401,86002
401,86335
401,86342
401,86025
401,86005
401,86336
401,85654
401,85550
401,85623
401,85532
401,85141
401,85192
401,85130
401,85121
401,85123
401,85122
401,86435
401,86506
401,85942
401,85940
401,85939
401,86046
401,86039
401,86024
401,86017
401,86015
401,86011
401,86340
401,85737
401,85535
401,86545
401,86507
401,86503
401,85930
401,85923
401,85902
401,85935
401,85929
401,86035
401,86038
401,85901
401,85755
401,85643
401,85704
401,85741
401,85631
401,85132
401,86434
401,86535
401,86508
401,85934
401,85924
401,85938
401,86044
401,86054
401,85551
401,85546
401,85533
401,85147
401,85137
401,85138
401,86540
401,86520
401,86515
401,86514
401,86511
401,85932
402,85708
402,85716
402,85731
402,85635
402,85712
402,85608
402,85605
402,85627
402,85751
402,85641
402,85715
402,85610
402,85609
402,85606
402,85619
402,85629
402,85625
402,85622
402,85748
402,85756
402,85710
402,85705
402,85704
402,85728
402,85607
402,85602
402,85630
402,85611
402,85615
402,85747
402,85638
402,85643
402,85741
402,85603
402,85617
402,85616
402,85614
402,85749
402,85637
402,85650
402,85645
402,85717
402,85730
402,85613
402,85707
402,85719
402,85718
402,85713
402,85620
402,85632
402,85626
402,85743
402,85744
402,85745
402,85752
402,85750
402,85636
402,85742
402,85733
402,85732
402,85740
402,85711
403,85321
403,85702
403,85705
403,85734
403,85735
403,85633
403,85629
403,85336
403,85349
403,85322
403,85037
403,85139
403,85033
403,85723
403,85350
403,85354
403,85366
403,85392
403,85340
403,85746
403,85646
403,85645
403,85701
403,85601
403,85329
403,85323
403,85756
403,85754
403,85637
403,85648
403,85621
403,85353
403,85364
403,85337
403,85341
403,85326
403,85757
403,85639
403,85736
403,85713
403,85628
403,85307
403,85743
403,85640
403,85709
403,85653
403,85719
403,85714
403,85634
403,85343
403,85706
403,85703
403,85721
403,85611
403,85624
403,85622
403,85333
403,85305
403,85043
403,85035
403,85745
403,85724
403,85725
403,85726
403,85365
403,85338
404,85357
404,85390
404,85117
404,86411
404,86406
404,86314
404,85356
404,85333
404,86431
404,86430
404,86409
404,86303
404,86329
404,86343
404,86405
404,86404
404,85554
404,85354
404,85541
404,85383
404,85348
404,85346
404,85178
404,85140
404,86441
404,86429
404,86313
404,86305
404,86315
404,86443
404,86442
404,86325
404,86321
404,86312
404,85352
404,85355
404,85539
404,85387
404,85331
404,85215
404,85128
404,86440
404,86438
404,86436
404,86445
404,85553
404,85359
404,85367
404,85396
404,85143
404,86433
404,86426
404,86302
404,86021
404,86334
404,86326
404,86323
404,85360
404,85361
404,85365
404,85328
404,85347
404,85344
404,85087
404,86432
404,86427
404,86412
404,86304
404,86301
404,86331
404,86327
404,86403
404,85547
404,85362
404,85364
404,85334
404,85342
404,85340
404,85263
404,85320
404,85212
404,85120
404,86439
404,86413
404,86444
404,86324
404,86333
404,86332
404,86338
404,85332
404,85262
404,85324
404,85142
404,85119
404,85118
404,86437
404,86446
404,86337
404,86402
404,86401
404,86320
404,85545
404,85544
404,85325
404,85132
405,85249
405,85201
405,85277
405,85214
405,85215
405,85213
405,85209
405,85212
405,85203
405,85224
405,85142
405,85127
405,85275
405,85297
405,85236
405,85248
405,85225
405,85204
405,85295
405,85298
405,85208
405,85234
405,85120
405,85299
405,85216
405,85286
405,85296
405,85207
405,85205
405,85233
405,85206
406,85377
406,85263
406,85266
406,85310
406,85260
406,85258
406,85251
406,85046
406,85086
406,85029
406,85267
406,85269
406,85308
406,85259
406,85250
406,85331
406,85268
406,85053
406,85021
406,85261
406,85253
406,85083
406,85080
406,85327
406,85264
406,85255
406,85028
406,85032
406,85256
406,85078
406,85071
406,85050
406,85024
406,85254
406,85262
406,85252
406,85271
406,85203
406,85085
406,85054
406,85051
406,85023
406,85027
406,85020
406,85022
407,85301
407,85031
407,85017
407,85009
407,85043
407,85030
407,85003
407,85016
407,85051
407,85033
407,85005
407,85004
407,85011
407,85303
407,85305
407,85036
407,85074
407,85063
407,85002
407,85019
407,85014
407,85015
407,85035
407,85034
407,85007
407,85001
407,85018
407,85339
407,85044
407,85021
407,85353
407,85283
407,85041
407,85040
407,85079
407,85067
407,85042
407,85026
407,85013
407,85311
407,85061
407,85066
407,85082
407,85008
407,85006
407,85012
408,85345
408,85351
408,85374
408,85381
408,85379
408,85307
408,85309
408,85087
408,85363
408,85388
408,85331
408,85335
408,85340
408,85310
408,85378
408,85395
408,85383
408,85382
408,85303
408,85305
408,85372
408,85308
408,85302
408,85301
408,85355
408,85385
408,85338
408,85304
408,85085
408,85361
408,85373
408,85375
408,85083
408,85086
408,85376
408,85387
408,85380
408,85306
408,85318
408,85312
409,85246
409,85202
409,85283
409,85211
409,85251
409,85225
409,85076
409,85044
409,85018
409,85287
409,85203
409,85070
409,85069
409,85064
409,85048
409,85021
409,85020
409,85282
409,85051
